idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
56,2023-01-01,Group stage,99,22,Stadio Olimpico,1,0,1,0,0,100.0,0.0,0.0,0.0,100.0,42.86,66.67,33.33,0.0,0.43,0.67,1.0,524.1573033707865,24.959871589085072,40.0,66.67,0.0,33.33,0.4,0.67,1.8,412.00204290091926,17.166751787538303
57,2023-01-01,Group stage,69,10,Reale Arena,3,1,1,0,0,0.0,0.0,100.0,100.0,0.0,28.57,0.0,66.67,33.33,0.29,0.0,0.71,524.8212461695608,20.185432544983108,20.0,0.0,33.33,66.67,0.2,0.0,1.2,376.7620020429009,17.125545547404585
58,2023-01-01,Group stage,90,470,Stadio Diego Armando Maradona,1,1,0,1,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,33.33,33.33,0.43,0.33,1.57,531.4606741573034,23.10698583292623,0.0,0.0,0.0,100.0,0.0,0.0,1.0,367.1603677221654,17.48382703438883
59,2023-01-01,Group stage,31,80,Arsenal Stadium,2,0,1,0,0,66.67,0.0,33.33,66.67,33.33,33.33,50.0,25.0,25.0,0.33,0.5,1.89,688.3043922369765,29.92627792334681,0.0,0.0,33.33,66.67,0.0,0.0,1.4,368.99897854954037,15.374957439564179
60,2023-01-01,Group stage,21,328,Philips Stadion,1,0,1,0,0,0.0,100.0,0.0,0.0,0.0,14.29,0.0,100.0,0.0,0.14,0.0,1.14,528.3963227783452,24.018014671742968,40.0,66.67,33.33,0.0,0.4,0.67,1.2,373.13585291113367,18.65679264555669
61,2023-01-01,Group stage,184,7,Red Bull Arena,0,1,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,0.0,0.0,100.0,0.2,0.0,0.8,377.22165474974463,16.400941510858463,57.14,75.0,25.0,0.0,0.57,0.75,1.29,540.2962206332993,24.55891911969542
62,2023-01-01,Group stage,153,8,Parken,4,3,1,0,0,100.0,0.0,0.0,33.33,66.67,14.29,33.33,0.0,66.67,0.14,0.33,0.86,483.9121552604699,20.16300646918624,20.0,33.33,0.0,66.67,0.2,0.33,1.8,380.7456588355464,15.864402451481105
63,2023-01-01,Group stage,3,50,Allianz Arena,2,1,1,0,0,0.0,0.0,100.0,100.0,0.0,54.55,60.0,40.0,0.0,0.55,0.6,1.45,675.2298263534217,29.35781853710529,20.0,0.0,66.67,33.33,0.2,0.0,1.8,402.34933605720124,20.117466802860058
64,2023-01-01,Group stage,1,308,Estadio Santiago Bernabéu,3,0,1,0,0,0.0,0.0,100.0,100.0,0.0,63.64,40.0,60.0,0.0,0.64,0.4,1.73,685.4443309499487,31.156560497724943,20.0,0.0,33.33,66.67,0.2,0.0,1.2,397.6506639427987,17.289159301860813
65,2023-01-01,Group stage,99,16,Stadio Olimpico,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,42.86,66.67,33.33,0.0,0.43,0.67,0.86,524.1573033707865,24.959871589085072,20.0,33.33,33.33,33.33,0.2,0.33,1.0,377.1195097037794,16.39650042190345
