idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
73,2023-01-01,Group stage,80,21,Estadio Ramón Sánchez Pizjuán,2,3,0,0,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,1.0,0.0,,14.29,25.0,75.0,0.0,0.14,0.25,0.86,0.0,
74,2023-01-01,Group stage,10,7,Estádio do Sport Lisboa e Benfica,3,3,0,1,0,33.33,33.33,33.33,0.0,66.67,20.0,0.0,0.0,100.0,0.2,0.0,0.8,0.0,,71.43,75.0,25.0,0.0,0.71,0.75,1.0,0.0,
75,2023-01-01,Group stage,308,470,Estádio Municipal de Braga,1,1,0,1,0,0.0,0.0,100.0,100.0,0.0,20.0,0.0,0.0,100.0,0.2,0.0,1.0,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,
76,2023-01-01,Group stage,31,328,Emirates Stadium,6,0,1,0,0,100.0,0.0,0.0,0.0,100.0,33.33,50.0,25.0,25.0,0.33,0.5,1.44,0.0,,40.0,66.67,33.33,0.0,0.4,0.67,1.2,0.0,
77,2023-01-01,Group stage,50,8,RAMS Park,3,3,0,1,0,66.67,0.0,33.33,66.67,33.33,20.0,0.0,50.0,50.0,0.2,0.0,1.4,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.8,0.0,
78,2023-01-01,Group stage,3,153,Allianz Arena,0,0,0,1,0,0.0,0.0,100.0,100.0,0.0,63.64,80.0,20.0,0.0,0.64,0.8,1.64,0.0,,28.57,50.0,0.0,50.0,0.29,0.5,1.43,0.0,
79,2023-01-01,Group stage,1,90,Estadio Santiago Bernabéu,4,2,1,0,0,33.33,0.0,66.67,100.0,0.0,63.64,40.0,60.0,0.0,0.64,0.4,1.64,0.0,,42.86,25.0,50.0,25.0,0.43,0.25,1.43,0.0,
80,2023-01-01,Group stage,69,184,Reale Arena,0,0,0,1,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,33.33,33.33,0.43,0.33,1.14,0.0,,20.0,0.0,0.0,100.0,0.2,0.0,0.8,0.0,
81,2023-01-01,Group stage,328,80,Stade Bollaert-Delelis,2,1,1,0,0,0.0,100.0,0.0,0.0,0.0,20.0,50.0,50.0,0.0,0.2,0.5,0.8,0.0,,0.0,0.0,33.33,66.67,0.0,0.0,1.2,0.0,
82,2023-01-01,Group stage,21,31,Philips Stadion,1,1,0,1,0,60.0,40.0,0.0,20.0,40.0,28.57,33.33,66.67,0.0,0.29,0.33,1.14,0.0,,44.44,60.0,20.0,20.0,0.44,0.6,2.0,0.0,
83,2023-01-01,Group stage,8,3,Old Trafford,0,1,0,0,1,80.0,20.0,0.0,20.0,60.0,20.0,50.0,0.0,50.0,0.2,0.5,2.4,0.0,,54.55,66.67,33.33,0.0,0.55,0.67,1.55,0.0,
