Temporada,Ronda,Wk,Dia,Fecha,Hora,Local,Resultado,Visitante,Público,Evento,Árbitro,Reporte,Notas
Temporada,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2022-2023,Group stage,1,Wed,2022-09-07,21:00,Napoliit,4–1,engLiverpool,"51,793",Stadio Diego Armando Maradona,Carlos del Cerro,Match Report,
2022-2023,Group stage,1,Wed,2022-09-07,21:00,Atlético Madrides,2–1,ptPorto,"51,777",Estadio Cívitas Metropolitano,Szymon Marciniak,Match Report,
2022-2023,Group stage,1,Wed,2022-09-07,21:00,Barcelonaes,5–1,czViktoria Plzeň,"77,411",Camp Nou,Lawrence Visser,Match Report,
2022-2023,Group stage,1,Wed,2022-09-07,21:00,Interit,0–2,deBayern Munich,"58,951",Stadio Giuseppe Meazza,Clément Turpin,Match Report,
2022-2023,Group stage,1,Wed,2022-09-07,21:00,Club Bruggebe,1–0,deLeverkusen,"21,235",Jan Breydelstadion,Irfan Peljto,Match Report,
2022-2023,,,,,,,,,,,,,
2022-2023,Group stage,2,Tue,2022-09-13,17:45,Sporting CPpt,2–0,engTottenham,"39,899",Estádio José Alvalade,Srđan Jovanović,Match Report,
2022-2023,Group stage,2,Tue,2022-09-13,18:45,Viktoria Plzeňcz,0–2,itInter,"11,252",Doosan Arena,Sandro Schärer,Match Report,
2022-2023,Group stage,2,Tue,2022-09-13,20:00,Liverpooleng,2–1,nlAjax,"52,387",Anfield,Artur Dias,Match Report,
2022-2023,Group stage,2,Tue,2022-09-13,20:00,Portopt,0–4,beClub Brugge,"39,225",Estádio Do Dragão,Anastasios Sidiropoulos,Match Report,
2022-2023,Group stage,2,Tue,2022-09-13,21:00,Leverkusende,2–0,esAtlético Madrid,"25,825",BayArena,Michael Oliver,Match Report,
2022-2023,Group stage,2,Tue,2022-09-13,21:00,Marseillefr,0–1,deEint Frankfurt,"62,500",Orange Vélodrome,José Sánchez,Match Report,
2022-2023,Group stage,2,Tue,2022-09-13,21:00,Bayern Munichde,2–0,esBarcelona,"75,000",Allianz Arena,Danny Makkelie,Match Report,
2022-2023,Group stage,2,Wed,2022-09-14,18:45,Milanit,3–1,hrDinamo Zagreb,"61,341",Stadio Giuseppe Meazza,Jesús Gil,Match Report,
2022-2023,Group stage,2,Wed,2022-09-14,19:45,Shakhtarua,1–1,sctCeltic,"20,697",Stadion Miejski Legii Warszawa im. Marsz...,Glenn Nyberg,Match Report,
2022-2023,Group stage,2,Wed,2022-09-14,20:00,Rangerssct,0–3,itNapoli,"50,121",Ibrox Stadium,Antonio Matéu,Match Report,
2022-2023,Group stage,2,Wed,2022-09-14,20:00,Chelseaeng,1–1,atRB Salzburg,"38,818",Stamford Bridge,Ivan Kružliak,Match Report,
2022-2023,Group stage,2,Wed,2022-09-14,20:00,Manchester Cityeng,2–1,deDortmund,"50,441",Etihad Stadium,Daniele Orsato,Match Report,
2022-2023,Group stage,2,Wed,2022-09-14,21:00,FC Copenhagendk,0–0,esSevilla,"34,910",Parken,Irfan Peljto,Match Report,
2022-2023,Group stage,2,Wed,2022-09-14,21:00,Juventusit,1–2,ptBenfica,"34,015",Allianz Stadium,Felix Zwayer,Match Report,
2022-2023,Group stage,2,Wed,2022-09-14,21:00,Real Madrides,2–0,deRB Leipzig,"54,289",Estadio Santiago Bernabéu,Maurizio Mariani,Match Report,
2022-2023,Group stage,2,Wed,2022-09-14,22:00,Maccabi Haifail,1–3,frParis S-G,"30,412",Sammy Ofer Stadium,Daniel Siebert,Match Report,
2022-2023,,,,,,,,,,,,,
2022-2023,Group stage,3,Tue,2022-10-04,18:45,Bayern Munichde,5–0,czViktoria Plzeň,"75,000",Allianz Arena,Nikola Dabanović,Match Report,
2022-2023,Group stage,3,Tue,2022-10-04,18:55,Marseillefr,4–1,ptSporting CP,618,Orange Vélodrome,Davide Massa,Match Report,
2022-2023,Group stage,3,Tue,2022-10-04,20:00,Liverpooleng,2–0,sctRangers,"49,512",Anfield,Clément Turpin,Match Report,
2022-2023,Group stage,3,Tue,2022-10-04,20:00,Portopt,2–0,deLeverkusen,"42,399",Estádio Do Dragão,Anthony Taylor,Match Report,
2022-2023,Group stage,3,Tue,2022-10-04,21:00,Eint Frankfurtde,0–0,engTottenham,"50,500",Deutsche Bank Park,Daniele Orsato,Match Report,
